time,sineVoltage.v,capacitor.v,resistor.v
0,0,0,0
0.000102,6.524112704,0.166874162,6.357238542
0.000204,13.03857978,0.655917238,12.38266254
0.000306,19.53376986,1.45005575,18.08371411
0.000408,26.00008007,2.532595788,23.46748429
0.00051,32.42795026,3.887202713,28.54074754
0.000612,38.80787707,5.497887832,33.30998924
0.000714,45.13042806,7.348992877,37.78143518
0.000816,51.38625559,9.425177388,41.9610782
0.000918,57.56611069,11.71140736,45.85470332
0.00102,63.66085669,14.19294485,49.46791184
0.001122,69.66148278,16.85533917,52.80614361
0.001224,75.55911728,19.6844195,55.87469778
0.001326,81.34504077,22.66628481,58.67875596
0.001428,87.01069901,25.78730357,61.22339545
0.00153,92.54771557,29.03410585,63.51360972
0.001632,97.9479042,32.39357874,65.55432546
0.001734,103.2032809,35.85286629,67.35041464
0.001836,108.3060759,39.39936369,68.90671224
0.001938,113.2487449,43.02071872,70.2280262
0.00204,118.0239804,46.70482676,71.3191536
0.002142,122.6247223,50.43983388,72.18488839
0.002244,127.0441687,54.21413393,72.83003472
0.002346,131.2757855,58.01637387,73.25941166
0.002448,135.3133166,61.83544949,73.47786715
0.00255,139.1507927,65.66050978,73.49028288
0.002652,142.78254,69.48096104,73.30157901
0.002754,146.2031894,73.2864665,72.91672291
0.002856,149.4076835,77.06694765,72.3407358
0.002958,152.3912845,80.81258798,71.57869649
0.00306,155.1495813,84.51384154,70.63573981
0.003162,157.678496,88.16142866,69.51706738
0.003264,159.9742897,91.74634162,68.22794803
0.003366,162.033568,95.25984751,66.77372046
0.003468,163.8532864,98.69349351,65.15979289
0.00357,165.4307546,102.0391143,63.39164033
0.003672,166.7636403,105.2888269,61.47481343
0.003774,167.849973,108.4350392,59.41493378
0.003876,168.6881465,111.4704533,57.21769313
0.003978,169.2769216,114.3880703,54.88885122
0.00408,169.6154278,117.1811942,52.43423359
0.004182,169.7031647,119.8434327,49.859732
0.004284,169.5400025,122.3686998,47.17130273
0.004386,169.1261826,124.751224,44.37495862
0.004488,168.4623166,126.9855464,41.4767702
0.00459,167.5493862,129.0665269,38.48285924
0.004692,166.3887409,130.9893452,35.39939571
0.004794,164.9820969,132.7495003,32.23259653
0.004896,163.3315337,134.3428204,28.98871325
0.004998,161.4394916,135.7654549,25.67403676
0.0051,159.308768,137.0138861,22.29488197
0.005202,156.9425131,138.084923,18.8575901
0.005304,154.3442252,138.9757041,15.3685211
0.005406,151.5177458,139.6837031,11.83404266
0.005508,148.4672537,140.2067194,8.26053431
0.00561,145.197259,140.5428912,4.654367784
0.005712,141.7125962,140.6906824,1.021913827
0.005814,138.0184173,140.6488909,-2.630473599
0.005916,134.1201839,140.4166459,-6.296462051
0.006018,130.0236594,139.9934007,-9.969741357
0.00612,125.7349003,139.3789437,-13.6440434
