time,sineVoltage.i,resistor.i,capacitor.i
0,0,0,0
0.000102,-0.158930964,0.158930964,0.158930964
0.000204,-0.309566564,0.309566564,0.309566564
0.000306,-0.452092853,0.452092853,0.452092853
0.000408,-0.586687107,0.586687107,0.586687107
0.00051,-0.713518689,0.713518689,0.713518689
0.000612,-0.832749731,0.832749731,0.832749731
0.000714,-0.944535879,0.944535879,0.944535879
0.000816,-1.049026955,1.049026955,1.049026955
0.000918,-1.146367583,1.146367583,1.146367583
0.00102,-1.236697796,1.236697796,1.236697796
0.001122,-1.32015359,1.32015359,1.32015359
0.001224,-1.396867445,1.396867445,1.396867445
0.001326,-1.466968899,1.466968899,1.466968899
0.001428,-1.530584886,1.530584886,1.530584886
0.00153,-1.587840243,1.587840243,1.587840243
0.001632,-1.638858136,1.638858136,1.638858136
0.001734,-1.683760366,1.683760366,1.683760366
0.001836,-1.722667806,1.722667806,1.722667806
0.001938,-1.755700655,1.755700655,1.755700655
0.00204,-1.78297884,1.78297884,1.78297884
0.002142,-1.80462221,1.80462221,1.80462221
0.002244,-1.820750868,1.820750868,1.820750868
0.002346,-1.831485292,1.831485292,1.831485292
0.002448,-1.836946679,1.836946679,1.836946679
0.00255,-1.837257072,1.837257072,1.837257072
0.002652,-1.832539475,1.832539475,1.832539475
0.002754,-1.822918073,1.822918073,1.822918073
0.002856,-1.808518395,1.808518395,1.808518395
0.002958,-1.789467412,1.789467412,1.789467412
0.00306,-1.765893495,1.765893495,1.765893495
0.003162,-1.737926684,1.737926684,1.737926684
0.003264,-1.705698701,1.705698701,1.705698701
0.003366,-1.669343011,1.669343011,1.669343011
0.003468,-1.628994822,1.628994822,1.628994822
0.00357,-1.584791008,1.584791008,1.584791008
0.003672,-1.536870336,1.536870336,1.536870336
0.003774,-1.485373345,1.485373345,1.485373345
0.003876,-1.430442328,1.430442328,1.430442328
0.003978,-1.37222128,1.37222128,1.37222128
0.00408,-1.31085584,1.31085584,1.31085584
0.004182,-1.2464933,1.2464933,1.2464933
0.004284,-1.179282568,1.179282568,1.179282568
0.004386,-1.109373965,1.109373965,1.109373965
0.004488,-1.036919255,1.036919255,1.036919255
0.00459,-0.962071481,0.962071481,0.962071481
0.004692,-0.884984893,0.884984893,0.884984893
0.004794,-0.805814913,0.805814913,0.805814913
0.004896,-0.724717831,0.724717831,0.724717831
0.004998,-0.641850919,0.641850919,0.641850919
0.0051,-0.557372049,0.557372049,0.557372049
0.005202,-0.471439752,0.471439752,0.471439752
0.005304,-0.384213028,0.384213028,0.384213028
0.005406,-0.295851067,0.295851067,0.295851067
0.005508,-0.206513358,0.206513358,0.206513358
0.00561,-0.116359195,0.116359195,0.116359195
0.005712,-0.025547846,0.025547846,0.025547846
0.005814,0.06576184,-0.06576184,-0.06576184
0.005916,0.157411551,-0.157411551,-0.157411551
0.006018,0.249243534,-0.249243534,-0.249243534
0.00612,0.341101085,-0.341101085,-0.341101085
0.006222,0.432828286,-0.432828286,-0.432828286
0.006324,0.524270653,-0.524270653,-0.524270653
0.006426,0.615274969,-0.615274969,-0.615274969
0.006528,0.705689551,-0.705689551,-0.705689551
0.00663,0.795364592,-0.795364592,-0.795364592
0.006732,0.884151986,-0.884151986,-0.884151986
0.006834,0.971905957,-0.971905957,-0.971905957
0.006936,1.058482809,-1.058482809,-1.058482809
0.007038,1.143741388,-1.143741388,-1.143741388
0.00714,1.22754318,-1.22754318,-1.22754318
0.007242,1.309752321,-1.309752321,-1.309752321
0.007344,1.390236116,-1.390236116,-1.390236116
0.007446,1.468864739,-1.468864739,-1.468864739
0.007548,1.545511883,-1.545511883,-1.545511883
0.00765,1.620054567,-1.620054567,-1.620054567
0.007752,1.692373386,-1.692373386,-1.692373386
0.007854,1.762352814,-1.762352814,-1.762352814
0.007956,1.829881033,-1.829881033,-1.829881033
0.008058,1.894850475,-1.894850475,-1.894850475
0.00816,1.957157585,-1.957157585,-1.957157585
0.008262,2.01670321,-2.01670321,-2.01670321
0.008364,2.073392649,-2.073392649,-2.073392649
0.008466,2.127135658,-2.127135658,-2.127135658
0.008568,2.177846836,-2.177846836,-2.177846836
0.00867,2.225445378,-2.225445378,-2.225445378
0.008772,2.269855544,-2.269855544,-2.269855544
0.008874,2.311006498,-2.311006498,-2.311006498
0.008976,2.348832469,-2.348832469,-2.348832469
0.009078,2.383272934,-2.383272934,-2.383272934
0.00918,2.414272487,-2.414272487,-2.414272487
0.009282,2.441781166,-2.441781166,-2.441781166
0.009384,2.46575428,-2.46575428,-2.46575428
0.009486,2.486152619,-2.486152619,-2.486152619
0.009588,2.502942454,-2.502942454,-2.502942454
0.00969,2.516095523,-2.516095523,-2.516095523
0.009792,2.525589186,-2.525589186,-2.525589186
0.009894,2.5314063,-2.5314063,-2.5314063
0.009996,2.533535376,-2.533535376,-2.533535376
0.010098,2.531970508,-2.531970508,-2.531970508
0.0102,2.526711393,-2.526711393,-2.526711393
0.010302,2.517763289,-2.517763289,-2.517763289
0.010404,2.505137037,-2.505137037,-2.505137037
0.010506,2.488849096,-2.488849096,-2.488849096
0.010608,2.468921414,-2.468921414,-2.468921414
0.01071,2.445381375,-2.445381375,-2.445381375
0.010812,2.418261889,-2.418261889,-2.418261889
0.010914,2.387601296,-2.387601296,-2.387601296
0.011016,2.353443105,-2.353443105,-2.353443105
0.011118,2.315836129,-2.315836129,-2.315836129
0.01122,2.274834578,-2.274834578,-2.274834578
0.011322,2.230497566,-2.230497566,-2.230497566
0.011424,2.182888982,-2.182888982,-2.182888982
0.011526,2.132077977,-2.132077977,-2.132077977
